LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Ibarapa East,3.469913678,3.595765329,1.305212643,1.824072955,4.464360242,9.758346875
Ibarapa North,3.157058268,4.066420723,1.274315152,2.428030635,4.169596962,9.754685865
Ido,3.703850924,1.766980231,1.105778489,2.5850593,4.6934164,10.98232662
Irepo,4.168180316,3.48807753,2.380088703,1.320297801,3.925654729,9.414132846
Iseyin,3.336701654,3.317810131,1.135107288,2.131020006,4.582459726,10.05018139
Itesiwaju,3.091259171,4.001600039,1.111829811,2.821015756,4.042840069,9.955114996
Iwajowa,3.117127951,4.171081049,1.361055664,2.824638482,3.831750841,9.773517273
Kajola,3.519549774,3.40769865,1.017886973,2.067713568,4.790107021,10.37737036
Lagelu,3.931634721,1.876293007,1.017181054,2.318437281,4.963104631,11.21317663
Ogbomosho North,3.451425955,1.981819012,1.000563034,1.479110685,4.978540526,9.909077166
Ogbomosho South,3.03840361,2.658950101,1.001389475,1.65250499,4.996876662,9.687785263
Ogo Oluwa,2.871831517,3.212050732,1.014971502,2.309734117,4.220037988,9.401603623
Olorunsogo,4.049953956,3.31300579,1.702103838,1.935317198,4.012634392,9.997905545
Oluyole,3.767178045,2.356723618,1.001699199,2.188453369,4.856711424,10.81234284
Ona Ara,3.913576659,2.064617517,1.033181324,1.899936767,4.986084861,10.79959829
Orelope,3.947047342,3.311154286,1.777776074,2.418545111,4.270269388,10.63586184
Ori Ire,3.340184356,3.800211648,1.336015547,2.175811484,3.937800396,9.453796236
Oyo East,3.326687339,2.532447741,1.001563392,1.187751807,4.968942227,9.483381373
Oyo West,3.606347425,2.028278643,1.21786829,1.625552416,4.671717856,9.903617697
Saki East,3.232724425,3.860432485,1.770936765,2.55057985,3.878583788,9.661888062
Saki West,3.606134962,3.574866083,1.916305432,2.834118304,4.115517468,10.55577073
Surulere,3.231633528,3.177034758,1.084290252,2.365259084,4.486596419,10.08348903
Birnin Gwari,3.369104183,4.339777527,3.352016004,3.65255614,2.938479295,9.960139618
Chikun,3.793242587,2.661829781,1.985402932,2.285130963,4.2532323,10.33160585
Giwa,3.746307251,3.995933635,2.661366009,3.493877579,3.476641285,10.71682612
Igabi,3.808903362,3.254772739,1.935721858,2.97245107,3.940408555,10.72176299
Ikara,3.896322773,4.278498884,2.469626506,1.846007196,4.02285228,9.765182249
Jaba,3.189471472,3.183334263,1.918172038,2.691794931,4.718369567,10.59963597
Jema'A,3.198825032,3.191929982,1.953135907,1.983895971,4.46443556,9.647156563
Kachia,3.455236362,3.879830276,2.812032064,3.608794423,3.597156081,10.66118687
Kaduna North,4,1.046366598,1.007945599,1.184806192,5,10.18480619
Kaduna South,4,1.023820878,1,1.752455826,5,10.75245583
Kagarko,3.339924921,3.609056293,2.169994941,2.219244717,3.851146555,9.410316193
Kajuru,3.414013453,3.91107349,2.976883989,3.350374293,3.553050999,10.31743874
Kaura,3.307406273,3.172824881,1.81719976,1.714685795,4.852133067,9.874225134
Kauru,3.337601847,3.991175848,3.237114175,3.785662318,3.779757664,10.90302183
Kuban,3.64449192,4.004832703,2.860238213,2.763379419,3.560872746,9.968744085
Kudan,3.978262307,3.977571116,2.011276527,1.949052798,4.44163025,10.36894536
Lere,3.746459458,3.806479051,2.522659118,2.81736345,4.158489271,10.72231218
Makarfi,3.964436078,3.959824122,2.09039928,2.028682436,4.271961774,10.26508029
Sabon Gari,3.988203908,2.699189262,1.319798031,1.467805649,4.939489573,10.39549913
Sanga,3.292473641,3.687627995,2.468347841,1.656518815,4.142405628,9.091398083
Soba,3.798122818,3.979943356,2.465739549,3.261019361,3.389255211,10.44839739
Zangon Kataf,3.240613375,3.4387256,2.199207747,3.08884918,4.207923042,10.5373856
Zaria,3.989406581,3.032013754,1.391069398,1.678894676,4.881988903,10.55029016
Adavi,3.819445087,2.641149078,1.183977072,1.048931678,4.689501026,9.557877791
Ajaokuta,3.509668347,3.104572697,1.501433593,1.27056442,4.314637814,9.094870581
Ankpa,3.740106879,3.137350895,1.712871746,1.067444952,4.448114882,9.255666713
Bassa,2.949360616,3.864319455,2.21291901,1.796161173,3.678615589,8.424137379
